Est	1	01
Text	2	01
Gesture	3	01
Text	4	01
Est	5	02
Text	6	01
Est	7	03
Est	8	03
Est	11	04*,04-1
Text	10	04*,04-1
Text	9	02
Text	12*	04*
Text	13	04-1
Gesture	14*	04*
Gesture	15	04-1
Text	16	04-1
Est	17	05-1*,05-2
Gesture	18	05-2
Text	19	05-1
Text	23*	05-1*
Text	22	05-2
Gesture	21	05-2
Gesture	20	05-2
Gesture	24	05-2
Gesture	25	01
Gesture	26	01
Gesture	28	01,05-2
Text	27	01
Est	29	06-1*,06-2
Gesture	30	06-2
Text	31	06-1*,06-2
Est	32	07-1*,07-2
Est	33	08
Text	34	08
Gesture	35	08
Text	36	08
Est	38	09-4,09-3,09-2,09-1,09-8,09-7,09-6,09-5,09-12,09-11,09-10,09-9
Gesture	37	06-2,07-2,08
Text	40	09-12,09-11,09-10,09-9,06-2
Gesture	39	09-9
Text	41	09-12
Gesture	42	09-12
Gesture	43	09-12
Text	44	09-12
Est	46	10-1,10-2
Gesture	45	09-4,09-3,09-2,09-1,08,09-8,09-7,09-6,09-5,07-2,09-12,09-11,09-10,09-9,06-2
Est	46	10-1,10-2
Gesture	45	09-4,09-3,09-2,09-1,08,09-8,09-7,09-6,09-5,07-2,09-12,09-11,09-10,09-9,06-2
Text	47	09-4,09-3,09-2,09-1,08,09-8,09-7,09-6,09-5,07-2,09-12,09-11,09-10,09-9,06-2
Text	48	09-4,09-3,09-2,09-1,08,09-8,09-7,09-6,09-5,07-2,09-12,09-11,09-10,09-9,06-2
Est	49	11-1,11-2,11-3,11-4,11-5,11-6,11-7,11-8,11-9,11-10
Text	50	11-1,11-2,11-3,11-4,11-5,11-6,11-7,11-8,11-9,11-10
