queries,chartType
Scatterplot nominal vs nominal color by nominal,heatmap
Relationship between nominalating and Rotten Tomatoes Rating,heatmap
draw bars | show me nominal,bar
Cylinders count bar chart Color by nominal,bar
histogram of nominal,bar
Cylinders average nominal,bar
what's the nominal for movies in different nominals?,line
give me line charts of nominal over nominal by nominals,line
Line chart avg nominal per nominal Color by nominal,line
show me average budget split by nominal colored by nominal,bar
Movie gross and budge relationship based on genre,heatmap
Is there a correlation between nominal and nominal? ,heatmap
How many heavy cars are in the dataset? ,bar
Count by nominal,bar
show me imdb rating versus nominal rating,heatmap
give me a scatterplot of imdb rating as x axis and nominal rating as y axis,heatmap
plot nominal over nominal split by genre,line
Are there any American 5 cylinder cars?,bar
show me a scatterplot | show me rating | show me nominal rating,heatmap
How does nominal relate to fuel economy for cars from Europe v. USA? ,heatmap
histogram for nominal,bar
give me scatterplots of nominal versus nominal by different nominals,heatmap
Which cylinder cars have the highest fuel economy?,bar
plot average worldwide growth over nominal,bar
Acceleration by nominal scatterplot per nominal,heatmap
Acceleration by nominal scatterplot facet by nominal,heatmap
"For each nominal, nominal by nominal scatterplot",heatmap
Which countries have the most cars in this dataset?,bar
"Show the total nominal by nominal of film, broken down by movie rating.",bar
show me nominal against nominal split by nominal,heatmap
Acceleration by nominal scatterplot,heatmap
Acceleration by nominal points,heatmap
scatterplot budget and nominal colored by genre,heatmap
show me bars | show me nominal,bar
Plot IMDB rating against Rotten Tomatoes rating.,heatmap
show me movies by nominals,bar
Which countries have the highest nominal for cars of different nominal? ,bar
Show me count of movies categorized by nominal,bar
show me bars | show me nominal | show me average of nominal,bar
give me the number of movies by nominal,bar
Show me a bar chart of the total nominalability of each nominal with a breakdown based on shipping time.,bar
Show me a bar chart showing the average nominalability for orders by shipping mode and nominal.,bar
Show me a scatterplot of nominalability by nominal for each nominal. ,heatmap
Show me total nominal by month for the two-nominal period between Jan 2016 and Dec 2017.,line
Line Graph of SUM (Sales Forecast) vs Order Date,line
Column Chart of AVG (Profit) vs alphabetical order State,bar
Column Chart of Avg (Profit) by Segment vs each Ship Mode,bar
Scatter Plot of Profit by nominal vs Sales,heatmap
Descending Column Chart of Count vs Sub-nominal,bar
Scatter Plot for each nominal of Profit vs Sales,heatmap
Multi-line Graph of Sum (Sales) by Category vs Order Date ,line
Scatter Plot of Sales vs Profit,heatmap
Columns of Count vs Order Quantity,bar
Stacked columns of Sum (nominal) nominaled by Ship Status vs Region,bar
"Stacked bar chart on nominal, Sum of nominal by nominal",bar
"Line chart, Sum of nominal by order date, on nominal",line
"Scatter plot, nominal by nominal",heatmap
"Line chart, Sum of Sales Forecast by Order Date",line
"Scatter Plot, Profit by Sales, on Region",heatmap
"Clustered Column chart, Average of Profit by nominal, small multiples on nominal",bar
"Column chart, Average of nominal by nominal",bar
"Frequency chart, order quantity",bar
"Column chart, count by sub-nominal",bar
"Scatter Plot, nominal by nominal, small multiples on nominal",heatmap
count of orders by order quantity,bar
count by sub-nominal distinct item ,bar
count for each subnominal item,bar
total count for each subnominal item,bar
plot nominal amount by nominal amount and nominal,heatmap
nominal amount per nominal amount by nominal,heatmap
"total nominal by order date and nominal where nominal is furniture, office supplies, technology",line
total nominal by nominal and nominal,bar
total nominal by order date in 2016-2017,line
total nominal by order date where nominal in 2016 or 2017,line
average nominal by nominal,bar
plot nominal amount by nominal amount,heatmap
average nominal by nominal type and nominal,bar
scatter nominalating vs Rotten Tomatoes Rating,heatmap
Average Worldwide Gross by Major Genre,bar
histogram of Running Time,bar
Average Production Budget by Year,line
Sum(Worldwide Gross) grouped by Genre and sub grouped by Content Rating,bar
Scatter Production Budget vs Worldwide Gross. Color Code Major Genre.,heatmap
Scatter Production Budget vs Worldwide Gross | Slice by Content Rating,heatmap
time series: Sum(Worldwide Gross) by Release Year | group and color code by Major Genre,line
Avg(Poduction Budget) Grouped by Content Rating and sub-grouped by Creative Type,bar
plot nominal versus nominal with a separate plot for each nominal. Make the axes identical.,heatmap
plot a simple line chart that Sums the Worldwide Gross of major films versus nominal parameterized by Major Genre. | Do not use symbols and show only major gridlines. Extend the axis to the labels. ,line
Make a simple bar chart of count of Titles versus the Running Time. | Extend axes to labels and use only Count or lateral gridlines.,bar
Make a simple bar chart of Count of Titles versus the nominal of Creative Type.,bar
"make a simple, vertical bar chart of the average of Worldwide nominal as a function of the Major Genre.  | Alphabetize the Major Genre, use the color Blue for the bars and extend the grids to the labels only outside the chart.   | Make horizontal gridlines for the Average.",bar
"make a simple line chart of the average of the Production Budget as a function of  Release Year.  | use no symbols, use a 1 pt line, and use gridlines for both average and nominal.",line
Make simple scatter plots of the Worldwide Gross versus Production Budget. Parameterize by Content Rating.,heatmap
Make vertical bar charts of the average of the Production Budget categorized by Creative Type and parameterized by Content Rating across the page. | Put an alphabetized legend for Creative type on the right side of the page. Do not use an x-axis or nominal axis but use the same axis for each chart. Use only major average of Production Budget gridlines.,bar
Make a simple scatter plot of Rotten Tomatoes Rating versus nominalating.   | Use only major gridlines.,heatmap
Make a simple scatter plot of worldwide Gross by Production Budget categorized by Major Genre.,heatmap
Make a bar chart of the sum of Worldwide Gross as a function of the Major Genre.  | Split each bar by Content Rating. Put a legend of the Content Rating on the right. Alphabetize Content Rating.,bar
Show me nominal over nominal,line
show me nominal vs nominal,heatmap
show me the number of cars per nominal,bar
show me the categorization of nominals,bar
show me how the number of nominal is related to miles per gallon,bar
show me how nominal is related to nominal per nominal,heatmap
Show how nominals are associated with gross receipts by genre. ,bar
Show how genres have been associated with nominales from 1995 to 2009.,line
Show how films' Rotten Tomato ratings compare with IMDB ratings.,heatmap
